call_ID,round number,salesperson talking time,SP pause,total round pauses,customer talking time,crosstalk1,crosstalk2,crosstalk3,crosstalk4,crosstalk5
00T6000005aSCLrEAO.txt,5,00:04.026,00:00.299,00:00.041,00:00.447,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aSCLrEAO.txt,6,00:03.945,00:00.041,00:00.189,00:02.210,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aSCLrEAO.txt,7,00:03.972,00:00.108,00:00.366,00:01.627,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aSCLrEAO.txt,8,00:00.624,00:00.000,00:00.068,00:01.003,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aSNR5EAO.txt,1,00:01.077,00:00.963,00:08.922,00:00.656,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aSNR5EAO.txt,2,00:13.235,00:-1.986,00:00.672,00:09.424,00:00.000,00:00.836,00:00.000,00:00.000,00:00.000,
00T6000005aSNR5EAO.txt,3,00:07.855,00:00.448,00:00.001,00:04.262,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aSNR5EAO.txt,4,00:02.584,00:00.210,00:00.057,00:00.372,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aSNR5EAO.txt,5,00:02.060,00:00.000,-1:59.390,00:01.163,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aSQ7PEAW.txt,1,00:00.974,00:01.183,00:06.507,00:00.348,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aSQ7PEAW.txt,2,00:00.209,00:00.348,00:00.661,00:00.383,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aSQ7PEAW.txt,3,00:23.696,00:00.509,00:00.002,00:01.861,00:00.000,00:00.000,00:00.434,00:00.000,00:00.000,
00T6000005aSQ7PEAW.txt,4,00:04.832,00:00.093,00:00.000,00:00.417,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aSQ7PEAW.txt,5,00:13.828,00:00.395,00:00.001,00:02.820,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aSQ7PEAW.txt,6,00:01.590,00:00.197,00:00.001,00:00.000,00:00.000,00:00.000,00:00.000,00:01.265,00:00.000,
00T6000005aSQ7PEAW.txt,7,00:00.842,00:00.000,00:00.422,00:00.200,00:00.000,00:00.000,00:00.138,00:00.581,00:00.000,
00T6000005aTbldEAC.txt,1,00:00.615,00:01.430,00:01.141,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTbldEAC.txt,2,00:01.317,00:01.092,00:18.365,00:00.376,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTbldEAC.txt,3,00:01.304,00:00.752,00:01.067,00:00.627,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTbldEAC.txt,4,00:02.898,00:00.602,00:00.953,00:00.628,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTbldEAC.txt,5,00:23.395,00:00.301,00:01.104,00:02.371,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTbldEAC.txt,6,00:01.480,00:00.288,00:00.001,00:00.000,00:00.000,00:00.000,00:00.000,00:01.216,00:00.000,
00T6000005aTbldEAC.txt,7,00:02.221,00:00.001,00:01.718,00:02.672,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTbldEAC.txt,8,00:02.947,00:00.778,00:01.004,00:00.426,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTbldEAC.txt,9,00:02.358,00:00.577,00:01.380,00:00.176,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTbldEAC.txt,10,00:05.720,00:00.001,00:01.079,00:01.003,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTbldEAC.txt,11,00:01.505,00:00.101,00:00.903,00:00.589,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTbldEAC.txt,12,00:00.577,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTqfCEAS.txt,1,00:00.683,00:00.426,00:01.089,00:00.505,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTqfCEAS.txt,2,00:03.187,00:00.772,00:00.614,00:00.930,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTqfCEAS.txt,3,00:20.145,00:00.267,00:01.663,00:11.740,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTqfCEAS.txt,4,00:01.138,00:00.002,00:00.871,00:00.931,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTqfCEAS.txt,5,00:00.443,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTRJlEAO.txt,1,00:01.430,00:00.330,00:01.036,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTRJlEAO.txt,2,00:07.716,00:00.098,00:01.295,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTRJlEAO.txt,3,00:00.482,00:00.884,00:15.102,00:00.625,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTRJlEAO.txt,4,00:14.798,00:00.002,00:01.777,00:10.109,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTRJlEAO.txt,5,00:10.268,00:00.187,00:00.047,00:04.974,00:00.000,00:00.000,00:01.025,00:00.000,00:00.000,
00T6000005aTRJlEAO.txt,6,00:05.109,-1:59.723,00:00.419,00:00.277,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTRJlEAO.txt,7,00:00.277,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTSPKEA4.txt,1,00:24.019,00:00.391,00:02.584,00:08.873,00:02.006,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTSPKEA4.txt,2,00:02.363,00:00.459,00:01.053,00:06.749,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTSPKEA4.txt,3,00:03.247,00:00.374,00:00.781,00:08.925,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTSPKEA4.txt,4,00:04.385,00:00.002,00:00.119,00:01.207,00:00.000,00:02.278,00:00.000,00:00.000,00:00.000,
00T6000005aTSPKEA4.txt,5,00:05.114,00:00.001,00:00.425,00:01.666,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTSPKEA4.txt,6,00:00.781,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTYr5EAG.txt,1,00:01.169,00:00.579,00:00.729,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTYr5EAG.txt,2,00:00.213,00:00.742,00:10.167,00:00.264,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTYr5EAG.txt,3,00:00.666,00:00.515,00:00.992,00:00.277,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTYr5EAG.txt,4,00:03.016,00:00.616,00:01.879,00:02.595,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTYr5EAG.txt,5,00:05.316,00:01.250,00:00.830,00:15.200,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTYr5EAG.txt,6,00:06.202,00:00.452,00:00.980,00:00.302,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTYr5EAG.txt,7,00:01.295,00:00.365,00:00.377,00:00.735,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005aTYr5EAG.txt,8,00:00.094,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auc1cEAA.txt,1,00:01.210,00:00.767,00:15.393,00:00.796,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auc1cEAA.txt,2,00:08.552,00:00.472,00:01.651,00:00.973,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auc1cEAA.txt,3,00:15.394,00:00.325,00:01.917,00:03.597,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
00T6000005auc1cEAA.txt,4,00:05.279,00:00.384,00:02.300,00:07.608,00:00.000,00:00.000,00:00.000,00:00.000,00:00.000,
